,schoolId,schoolNm,schoolSe,fondDate,fondType,bnhhSe,operSttus,lnmadr,rdnmadr,cddcCode,cddcNm,edcSport,edcSportNm,creatDate,changeDate,latitude,longitude,referenceDate,insttCode
167,B000002773,대구동문초등학교,초등학교,1982-12-06,공립,본교,운영,대구광역시 수성구 만촌동 262,대구광역시 수성구 효행로2길 111,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2013-11-29,2020-09-19,35.8748176,128.6524258,2020-09-22,7001220
168,B000005003,상평초등학교현서분교장,초등학교,1942-09-20,공립,분교,운영,강원도 양양군 서면 서림리 74-1,강원도 양양군 서면 구룡령로 2115,7800000,강원도교육청,7862000,강원도속초양양교육지원청,2013-11-29,2020-09-19,37.987727,128.529879,2020-09-22,7001220
169,B000008343,원촌중학교,중학교,1983-03-01,공립,본교,운영,서울특별시 서초구 반포동 22,서울특별시 서초구 사평대로45길 10,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2020-09-19,37.5063251,127.0146997,2020-09-22,7001220
170,B000011355,단국대학교부속소프트웨어고등학교,고등학교,1941-11-03,사립,본교,운영,서울특별시 강남구 대치동 1013-3,서울특별시 강남구 도곡로64길 21,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2020-09-19,37.4956248,127.0577682,2020-09-22,7001220
171,B000008405,남서울중학교,중학교,1964-11-12,공립,본교,운영,서울특별시 관악구 신림동 1690-3,서울특별시 관악구 남부순환로172길 97,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2020-09-19,37.48213625,126.9210371,2020-09-22,7001220
172,B000008385,남성중학교,중학교,1983-04-29,공립,본교,운영,서울특별시 동작구 사당동 304-45,서울특별시 동작구 남부순환로269길 166,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2020-09-19,37.47900822,126.972489,2020-09-22,7001220
173,B000004087,서해초등학교,초등학교,1996-11-01,공립,본교,운영,경기도 시흥시 정왕동 1867-2,경기도 시흥시 정왕대로53번길 14,7530000,경기도교육청,7781000,경기도시흥교육지원청,2013-11-29,2020-09-19,37.35612237,126.7251312,2020-09-22,7001220
174,B000008031,고산초등학교,초등학교,1945-05-01,공립,본교,운영,제주특별자치도 제주시 한경면 고산리 2684-1,제주특별자치도 제주시 한경면 고산로1길 16,9290000,제주특별자치도교육청,9296000,제주특별자치도제주시교육지원청,2013-11-29,2020-09-19,33.30452697,126.1768735,2020-09-22,7001220
175,B000025226,인천송일초등학교,초등학교,2015-09-01,공립,본교,운영,인천광역시 연수구 송도동 107,인천광역시 연수구 컨벤시아대로252번길 15,7310000,인천광역시교육청,7341000,인천광역시동부교육지원청,2013-11-29,2020-09-19,37.38418802,126.635135,2020-09-22,7001220
176,B000025193,인천만월초등학교,초등학교,1989-03-01,공립,본교,운영,인천광역시 남동구 구월동 1521,인천광역시 남동구 선수촌로 28,7310000,인천광역시교육청,7341000,인천광역시동부교육지원청,2013-11-29,2020-09-19,37.44180662,126.7155208,2020-09-22,7001220
177,B000009263,대안여자중학교,중학교,1986-03-01,공립,본교,운영,경기도 안양시 동안구 호계동 1233,경기도 안양시 동안구 흥안대로223번길 46,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2020-09-19,37.3771591,126.9651002,2020-09-22,7001220
178,B000009058,대전하기중학교,중학교,2006-03-01,공립,본교,운영,대전광역시 유성구 하기동 520,대전광역시 유성구 송림로48번길 6-30,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2020-09-19,36.38588907,127.3222049,2020-09-22,7001220
179,B000026215,목감고등학교,고등학교,2020-03-01,공립,본교,운영,경기도 시흥시 조남동 683,경기도 시흥시 목감둘레로 150,7530000,경기도교육청,7781000,경기도시흥교육지원청,2013-11-29,2020-09-19,37.37222339,126.8571834,2020-09-22,7001220
180,B000008529,남천중학교,중학교,1984-12-29,공립,본교,운영,부산광역시 남구 대연동 455-12,부산광역시 남구 황령대로492번길 71,7150000,부산광역시교육청,7181000,부산광역시남부교육지원청,2013-11-29,2020-09-19,35.13660359,129.1052341,2020-09-22,7001220
181,B000012085,정신여자고등학교,고등학교,1887-10-20,사립,본교,운영,서울특별시 송파구 잠실동 50-4,서울특별시 송파구 올림픽로4길 16,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2020-09-19,37.50945384,127.0738473,2020-09-22,7001220
182,B000008913,문화중학교,중학교,1984-03-08,공립,본교,운영,광주광역시 북구 우산동 118-4,광주광역시 북구 면앙로 111,7380000,광주광역시교육청,7391000,광주광역시동부교육지원청,2013-11-29,2020-09-19,35.17846694,126.9239162,2020-09-22,7001220
183,B000011367,부산영상예술고등학교,고등학교,1955-04-25,공립,본교,운영,부산광역시 영도구 신선동3가 71-1,부산광역시 영도구 영상길 100,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2013-11-29,2020-09-19,35.08513613,129.0449175,2020-09-22,7001220
184,B000012405,울산제일고등학교,고등학교,1988-03-01,사립,본교,운영,울산광역시 남구 옥동 910-1,울산광역시 남구 남부순환도로 107,7480000,울산광역시교육청,7501000,울산광역시강남교육지원청,2013-11-29,2020-09-19,35.54258944,129.2681645,2020-09-22,7001220
185,B000003548,울산중앙초등학교,초등학교,1972-03-11,공립,본교,운영,울산광역시 남구 신정동 592-2,울산광역시 남구 돋질로91번길 34,7480000,울산광역시교육청,7501000,울산광역시강남교육지원청,2013-11-29,2020-09-19,35.54114344,129.3155287,2020-09-22,7001220
186,B000009729,봄내중학교,중학교,1934-04-10,공립,본교,운영,강원도 춘천시 효자동 214-4,강원도 춘천시 공지로200번길 36,7800000,강원도교육청,7811000,강원도춘천교육지원청,2013-11-29,2020-09-19,37.86546754,127.7407637,2020-09-22,7001220
187,B000012774,육민관고등학교,고등학교,1946-03-15,사립,본교,운영,강원도 원주시 흥업면 흥업리 751,강원도 원주시 흥업면 북원로 1800,7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,2020-09-19,37.30936357,127.9184855,2020-09-22,7001220
188,B000012412,남목고등학교,고등학교,2008-03-01,공립,본교,운영,울산광역시 동구 서부동 728,울산광역시 동구 방어진순환도로 1200,7480000,울산광역시교육청,7491000,울산광역시강북교육지원청,2013-11-29,2020-09-19,35.53801042,129.4187517,2020-09-22,7001220
189,B000002543,용호초등학교,초등학교,1963-12-15,공립,본교,운영,부산광역시 남구 용호동 75-1,부산광역시 남구 용호로42번길 94,7150000,부산광역시교육청,7181000,부산광역시남부교육지원청,2013-11-29,2020-09-19,35.1224793,129.108986,2020-09-22,7001220
190,B000006985,안강초등학교,초등학교,1946-02-01,공립,본교,운영,경상북도 경주시 안강읍 안강리 398-1,경상북도 경주시 안강읍 비화원로 34,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,2020-09-19,35.99112905,129.2291697,2020-09-22,7001220
191,B000002704,반안초등학교,초등학교,2002-03-01,공립,본교,운영,부산광역시 해운대구 반여동 1164-6,부산광역시 해운대구 명장로67번길 40-42,7150000,부산광역시교육청,7211000,부산광역시해운대교육지원청,2013-11-29,2020-09-19,35.2029335,129.1132302,2020-09-22,7001220
192,B000024106,대구봉무초등학교,초등학교,2013-05-22,공립,본교,운영,대구광역시 동구 봉무동 1527,대구광역시 동구 팔공로53길 30,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2013-11-29,2020-09-19,35.92580017,128.6374377,2020-09-22,7001220
193,B000013540,성신고등학교,고등학교,1988-03-03,사립,본교,운영,울산광역시 중구 복산동 352-2,울산광역시 중구 성신고교길 26,7480000,울산광역시교육청,7491000,울산광역시강북교육지원청,2013-11-29,2020-09-19,35.56270656,129.3278415,2020-09-22,7001220
194,B000011399,대구공업고등학교,고등학교,1925-04-01,공립,본교,운영,대구광역시 동구 신암동 811,대구광역시 동구 대현로 135,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2013-11-29,2020-09-19,35.88321267,128.6141702,2020-09-22,7001220
195,B000002750,대구동촌초등학교,초등학교,1945-11-23,공립,본교,운영,대구광역시 동구 방촌동 1047,대구광역시 동구 동촌로 168,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2013-11-29,2020-09-19,35.88202794,128.6589293,2020-09-22,7001220
196,B000002764,대구효동초등학교,초등학교,1990-05-17,공립,본교,운영,대구광역시 동구 효목동 212-10,대구광역시 동구 효동로 78-7,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2013-11-29,2020-09-19,35.88412627,128.6447693,2020-09-22,7001220
197,B000022623,제석초등학교,초등학교,2015-03-01,공립,본교,운영,경상남도 통영시 광도면 죽림리 1583,경상남도 통영시 광도면 신죽1길 27,9010000,경상남도교육청,9071000,경상남도통영교육지원청,2013-11-29,2020-09-19,34.8757386,128.4165397,2020-09-22,7001220
198,B000009392,송운중학교,중학교,1996-03-01,공립,본교,운영,경기도 시흥시 정왕동 1875-4,경기도 시흥시 옥구천동로 433-11,7530000,경기도교육청,7781000,경기도시흥교육지원청,2013-11-29,2020-09-19,37.35941067,126.731408,2020-09-22,7001220
199,B000002531,운산초등학교,초등학교,1989-05-06,공립,본교,운영,부산광역시 남구 용호동 776,부산광역시 남구 용호로269번길 89,7150000,부산광역시교육청,7181000,부산광역시남부교육지원청,2013-11-29,2020-09-19,35.11020374,129.1152252,2020-09-22,7001220
